ullage_mm,volume_litres
6207,215
6200,253
6190,319
6180,400
6170,493
6160,596
6150,707
6140,824
6130,942
6120,1060
6110,1178
6100,1296
6090,1414
6080,1532
6070,1650
6060,1768
6050,1886
6040,2002
6030,2116
6020,2231
6010,2346
6000,2460
5990,2575
5980,2689
5970,2804
5960,2918
5950,3033
5940,3147
5930,3262
5920,3376
5910,3491
5900,3606
5890,3720
5880,3835
5870,3950
5860,4067
5850,4185
5840,4303
5830,4422
5820,4540
5810,4658
5800,4776
5790,4894
5780,5012
5770,5130
5760,5249
5750,5368
5740,5488
5730,5607
5720,5726
5710,5845
5700,5965
5690,6084
5680,6203
5670,6323
5660,6442
5650,6561
5640,6680
5630,6800
5620,6919
5610,7038
5600,7158
5590,7277
5580,7396
5570,7515
5560,7635
5550,7754
5540,7873
5530,7992
5520,8112
5510,8231
5500,8350
5490,8470
5480,8589
5470,8708
5460,8827
5450,8947
5440,9066
5430,9185
5420,9305
5410,9424
5400,9543
5390,9662
5380,9782
5370,9901
5360,10020
5350,10139
5340,10259
5330,10378
5320,10497
5310,10617
5300,10736
5290,10855
5280,10974
5270,11094
5260,11213
5250,11332
5240,11452
5230,11571
5220,11690
5210,11809
5200,11929
5190,12048
5180,12167
5170,12287
5160,12406
5150,12525
5140,12644
5130,12764
5120,12883
5110,13002
5100,13121
5090,13241
5080,13360
5070,13479
5060,13599
5050,13718
5040,13837
5030,13956
5020,14076
5010,14194
5000,14312
4990,14430
4980,14548
4970,14666
4960,14784
4950,14902
4940,15020
4930,15139
4920,15257
4910,15375
4900,15493
4890,15611
4880,15729
4870,15847
4860,15965
4850,16083
4840,16201
4830,16319
4820,16437
4810,16555
4800,16673
4790,16791
4780,16909
4770,17027
4760,17145
4750,17263
4740,17381
4730,17500
4720,17618
4710,17736
4700,17854
4690,17972
4680,18090
4670,18208
4660,18326
4650,18444
4640,18562
4630,18680
4620,18798
4610,18917
4600,19035
4590,19153
4580,19271
4570,19389
4560,19507
4550,19625
4540,19743
4530,19862
4520,19980
4510,20098
4500,20216
4490,20334
4480,20452
4470,20570
4460,20688
4450,20807
4440,20925
4430,21043
4420,21161
4410,21279
4400,21397
4390,21515
4380,21634
4370,21752
4360,21870
4350,21988
4340,22106
4330,22224
4320,22342
4310,22460
4300,22579
4290,22697
4280,22815
4270,22933
4260,23051
4250,23169
4240,23287
4230,23406
4220,23524
4210,23642
4200,23760
4190,23878
4180,23996
4170,24114
4160,24232
4150,24351
4140,24469
4130,24587
4120,24705
4110,24823
4100,24941
4090,25059
4080,25177
4070,25296
4060,25414
4050,25532
4040,25650
4030,25768
4020,25886
4010,26004
4000,26123
3990,26241
3980,26359
3970,26477
3960,26595
3950,26713
3940,26831
3930,26949
3920,27068
3910,27186
3900,27304
3890,27422
3880,27540
3870,27658
3860,27776
3850,27895
3840,28013
3830,28131
3820,28249
3810,28367
3800,28485
3790,28603
3780,28721
3770,28840
3760,28958
3750,29076
3740,29194
3730,29312
3720,29430
3710,29548
3700,29667
3690,29785
3680,29903
3670,30021
3660,30139
3650,30257
3640,30375
3630,30493
3620,30612
3610,30730
3600,30848
3590,30966
3580,31084
3570,31202
3560,31320
3550,31438
3540,31557
3530,31675
3520,31793
3510,31911
3500,32029
3490,32147
3480,32265
3470,32384
3460,32502
3450,32620
3440,32738
3430,32856
3420,32974
3410,33092
3400,33210
3390,33329
3380,33447
3370,33565
3360,33683
3350,33801
3340,33919
3330,34037
3320,34156
3310,34274
3300,34392
3290,34510
3280,34628
3270,34746
3260,34864
3250,34982
3240,35101
3230,35219
3220,35337
3210,35455
3200,35573
3190,35691
3180,35809
3170,35928
3160,36046
3150,36164
3140,36282
3130,36400
3120,36518
3110,36636
3100,36755
3090,36873
3080,36991
3070,37109
3060,37227
3050,37345
3040,37464
3030,37582
3020,37700
3010,37818
3000,37936
2990,38055
2980,38173
2970,38291
2960,38409
2950,38527
2940,38645
2930,38764
2920,38882
2910,39000
2900,39118
2890,39236
2880,39354
2870,39473
2860,39591
2850,39709
2840,39827
2830,39945
2820,40063
2810,40182
2800,40300
2790,40418
2780,40536
2770,40654
2760,40773
2750,40891
2740,41009
2730,41127
2720,41245
2710,41363
2700,41482
2690,41600
2680,41718
2670,41836
2660,41954
2650,42072
2640,42191
2630,42309
2620,42427
2610,42545
2600,42663
2590,42781
2580,42900
2570,43018
2560,43136
2550,43254
2540,43372
2530,43491
2520,43609
2510,43727
2500,43845
2490,43963
2480,44081
2470,44200
2460,44318
2450,44436
2440,44554
2430,44672
2420,44790
2410,44909
2400,45027
2390,45145
2380,45263
2370,45381
2360,45499
2350,45618
2340,45736
2330,45854
2320,45972
2310,46090
2300,46209
2290,46327
2280,46445
2270,46563
2260,46681
2250,46799
2240,46918
2230,47036
2220,47154
2210,47272
2200,47390
2190,47508
2180,47627
2170,47745
2160,47863
2150,47981
2140,48099
2130,48218
2120,48336
2110,48454
2100,48572
2090,48690
2080,48808
2070,48927
2060,49045
2050,49163
2040,49281
2030,49399
2020,49517
2010,49636
2000,49754
1990,49872
1980,49990
1970,50108
1960,50226
1950,50345
1940,50463
1930,50581
1920,50699
1910,50817
1900,50936
1890,51054
1880,51172
1870,51290
1860,51408
1850,51526
1840,51645
1830,51763
1820,51881
1810,51999
1800,52117
1790,52235
1780,52354
1770,52472
1760,52590
1750,52708
1740,52826
1730,52944
1720,53063
1710,53181
1700,53299
1690,53417
1680,53535
1670,53654
1660,53772
1650,53890
1640,54008
1630,54126
1620,54244
1610,54363
1600,54481
1590,54599
1580,54717
1570,54835
1560,54953
1550,55072
1540,55190
1530,55308
1520,55426
1510,55544
1500,55663
1490,55781
1480,55899
1470,56017
1460,56135
1450,56253
1440,56372
1430,56490
1420,56608
1410,56726
1400,56844
1390,56963
1380,57081
1370,57199
1360,57317
1350,57435
1340,57553
1330,57672
1320,57790
1310,57908
1300,58026
1290,58144
1280,58263
1270,58381
1260,58499
1250,58617
1240,58735
1230,58853
1220,58972
1210,59090
1200,59208
1190,59326
1180,59444
1170,59563
1160,59681
1150,59799
1140,59917
1130,60035
1120,60153
1110,60272
1100,60390
1090,60508
1080,60626
1070,60744
1060,60862
1050,60981
1040,61099
1030,61217
1020,61335
1010,61453
1000,61572
990,61690
980,61808
970,61926
960,62044
950,62162
940,62281
930,62399
920,62517
910,62635
900,62753
890,62872
880,62990
870,63108
860,63226
850,63344
840,63462
830,63581
820,63699
810,63817
800,63935
790,64053
780,64172
770,64290
760,64408
750,64526
740,64644
730,64762
720,64881
710,64999
700,65117
690,65235
680,65353
670,65472
660,65590
650,65708
640,65826
630,65944
620,66062
610,66181
600,66299
590,66417
